epoch,train_loss,valid_accuracy,valid_macro_f1,valid_macro_precision,valid_macro_recall
1,0.5075913298151222,0.8998333333333334,0.8998045329257658,0.9024035355277281,0.8998333333333333
2,0.27551487223267274,0.9135833333333333,0.9136516001669852,0.9137292423986708,0.9135833333333334
3,0.20027147614842908,0.9159166666666667,0.91590894273007,0.9161870105008121,0.9159166666666666
4,0.14890524499577368,0.9149166666666667,0.9150195313008258,0.9152468320709125,0.9149166666666667
5,0.10719206222107908,0.91325,0.9131447158030152,0.9142616242587271,0.9132499999999999
6,0.08070576522428702,0.9124166666666667,0.9124695048742719,0.9135202565029776,0.9124166666666667
7,0.06329087387015646,0.91175,0.9118096258277992,0.9120801233146544,0.91175
8,0.05552304685402715,0.9090833333333334,0.9090181327208549,0.9098992289696455,0.9090833333333334
