epoch,train_loss,valid_accuracy,valid_macro_f1,valid_macro_precision,valid_macro_recall
1,0.7931663161629184,0.8774166666666666,0.8772167749788204,0.8773876056346546,0.8774166666666665
2,0.3479340183085175,0.90325,0.9031824450907072,0.9033830347729237,0.90325
3,0.2759312656818408,0.9113333333333333,0.91123320121884,0.9114572133866886,0.9113333333333333
4,0.24119181810962081,0.91525,0.9151834193487858,0.9154988362248981,0.91525
5,0.21627102929975184,0.9190833333333334,0.9189475810047196,0.9191869274786876,0.9190833333333334
6,0.19728969116982126,0.92025,0.9201967068376855,0.920354827704629,0.92025
7,0.18179586349646626,0.9200833333333334,0.9200551626184191,0.9202671042532864,0.9200833333333334
8,0.16955825774731795,0.9195,0.9194907963416084,0.9197042098542826,0.9195
